Set,Price_Euro,Pieces,Minifigs
Surfer Van,,62.0,1.0
Buildable 2x4 Red Brick,,72.0,
Buildable 2x4 Red Brick,,72.0,
Windmill,,127.0,
Amsterdam BrickHeadz,,110.0,
Tantive IV,,56.0,
Summer Sailboat,,37.0,
100 Stores minifigure,,1.0,1.0
Arendelle Castle,,62.0,
Beijing BrickHeadz,,110.0,
Minifigure box,,,
Löwenstein Castle,,2015.0,3.0
Antique Fire Engine,,1278.0,
Skyline Express,,1365.0,6.0
Wild West Saloon,,1496.0,
Isle of Peril,,1301.0,
Eight Studs,,1393.0,2.0
Science Tower,,1204.0,2.0
The LEGO Story,,1442.0,4.0
Imagine it! Build it!,,924.0,2.0
Hot Shot Carnival ,,591.0,3.0
Vintage Roadster,,474.0,
Bikes!,,519.0,2.0
Steampunk Mini Chess,,371.0,
Blocks magazine issue 52,,,
Blocks magazine issue 53,,,
Blocks magazine issue 54,,,
Blocks magazine issue 55,,,
Blocks magazine issue 56,,,
Blocks magazine issue 57,,,
Blocks magazine issue 58,,,
Blocks magazine issue 59,,,
Blocks magazine issue 60,,,
Blocks magazine issue 61,,,
Blocks magazine issue 62,,,
Blocks magazine issue 63,,,
Brick Fanatics magazine issue 3,,,
Brick Fanatics magazine issue 4,,,
Brick Fanatics magazine issue 5,,,
Brick Fanatics magazine issue 6,,,
Brick Fanatics magazine issue 7,,,
Brick Fanatics magazine issue 8,,,
Brick Fanatics magazine issue 9,,,
Brick Fanatics magazine issue 10,,,
Brick Fanatics magazine issue 11,,,
Brick Fanatics magazine issue 12,,,
BrickJournal Issue 55,,,
BrickJournal Issue 56,,,
BrickJournal Issue 57,,,
BrickJournal Issue 58,,,
BrickJournal Issue 59,,,
BrickJournal Issue 60,,,
Mini Captain Marvel Ship,,46.0,
Cologne BrickHeadz,,110.0,
Cool Car,,49.0,
Dragon,,37.0,
Easter Chick,,30.0,
Elephant,,,
Mini Emmet's Dream House/Rescue Rocket,,68.0,
Flower,,,
Ganymede,,38.0,
Mini Harley Davidson,,71.0,
"LEGO Star Wars: Visual Dictionary, New Edition",,4.0,1.0
Star Wars Build Your Own Adventure: Galactic Missions,,66.0,1.0
Amazing Vehicles,,,
Harry Potter Build Your Own Adventure,,101.0,
"LEGO NINJAGO: Visual Dictionary, New Edition",,5.0,1.0
Christmas Ideas,,41.0,
"LEGO Star Wars: Visual Dictionary, Anniversary Edition",,4.0,1.0
Harry Potter The Magical Guide to the Wizarding World,,,
Build Yourself Happy: The Joy of LEGO play,,,
"Lego Action Vehicles: Police Helicopter, Fire Truck, Ambulance, and More",,,
"Expanding the LEGO Winter Village, Volume 2",,,
Building LEGO BrickHeadz Heroes - Volume One: The Unofficial Guide,,,
Building LEGO BrickHeadz Villains- Volume One: The Unofficial Guide ,,,
Expanding the LEGO Winter Village,,,
Building Tales with Syd and Friends,,,
New York City Brick by Brick,,,
The Book of Bedtime Builds,,68.0,
Build It! Wild West,,,
Build It! Monsters,,,
Build a LEGO Mustang,,,
Amazing LEGO Creations from Space with Bricks You Already Have,,,
The LEGO Castle Book: Build Your Own Mini Medieval World,,,
Knight Bus,,36.0,
Luke Skywalker,,87.0,
Olaf Box,,50.0,
Panda,,,
Pig,,,
Rat,,754.0,
Wally,,47.0,
Barb,,4.0,1.0
Zebra Batman,,5.0,
PS4 Spider-Man,,3.0,1.0
Golden Snitch,,35.0,
Castle Byers,,48.0,
Stormbreaker,,27.0,
Tantive IV,,56.0,
Tree in the Woods,,53.0,
X-wing Trench Run,,52.0,
Mini X-wing Fighter,,60.0,
